Traffic_Light_State,Weather_Condition,Traffic_Condition,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_%,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h
Yellow,Clear,High,40.842.275.292.891.800,-7.370.314.869.323.040,205,4.989.343.479.610.330,8.265.277.992.850.860,0,-6.091.990.900.689.380,2,45,4.507.600.550.695.170,"195743365296003000,00%"
Green,Clear,High,408.311.193.987.152,-739.873.540.904.415,202,22.383.964.870.087.800,4.582.929.780.270.140,0,965.442.369.948.869,16,1,3.218.003.405.168.860,"538555351219373000,00%"
Green,Rain,High,4.081.954.876.392.320,-7.373.246.185.831.270,252,46.889.699.439.334.800,8.277.246.480.269.830,0,2.896.603.158.283.980,16,49,2.311.526.548.042.290,"1027747748641990000,00%"
Red,Fog,High,4.072.584.887.921.560,-7.398.013.411.315.870,37,573.053.642.288.215,3.769.556.743.980.880,0,-27.196.473.819.133.900,66,10,4.103.842.921.098.870,"2924327944996020000,00%"
Green,Clear,High,4.064.111.174.659.450,-7.382.509.533.565.380,125,9.150.745.620.777.420,7.279.990.343.468.820,0,-5.946.363.258.437.670,78,27,3.490.453.075.341.280,"2980584193833020000,00%"
Green,Snow,High,40.797.138.602.855.700,-7.379.744.494.323.390,125,9.162.774.286.317.180,34.182.018.012.741.600,0,5.442.838.486.792.310,21,42,3.637.459.309.898.900,"1889057867552000000,00%"
Green,Clear,High,40.717.006.277.985.300,-7.378.956.236.690.140,67,7.390.533.684.403.200,8.060.737.469.182.320,0,-4.399.310.045.244.550,27,4,47.723.241.995.534.600,"172236789826470000,00%"
Yellow,Rain,High,4.082.852.824.860.490,-73.740.942.038.757,265,6.442.220.656.036.990,9.497.458.762.743.560,0,-509.843.380.609.708,72,24,32.352.502.528.496.300,"1680828751425720000,00%"
Green,Snow,High,40.735.330.932.085.900,-7.392.847.504.458.490,298,398.146.802.697.647,730.033.476.502.656,0,30.202.931.279.572.700,34,39,10.897.478.132.734.600,"203000367491947000,00%"
Red,Snow,High,40.652.881.362.011.000,-7.384.149.222.739.370,168,7.117.270.013.565.320,903.311.355.095.128,0,-18.713.336.860.589.300,33,6,12.232.794.699.154.100,"2955137000106960000,00%"
Yellow,Rain,High,4.075.553.084.654.900,-7.380.884.496.929.510,188,5.022.358.935.829.250,8.522.206.471.130.790,0,-7.701.418.177.688.820,35,47,3.919.104.428.862.420,"118229783038383000,00%"
Green,Snow,High,4.072.540.504.944.820,-7.398.032.961.025.930,176,1.951.636.298.845.030,8.938.515.987.287.360,0,38.651.537.790.023.900,80,10,10.687.010.806.907.300,"184426894864886000,00%"
Green,Clear,High,40.868.216.704.202.400,-7.397.079.464.706.160,113,3.609.859.481.632.130,8.204.990.255.159.490,0,-7.653.051.192.371.640,32,7,4.703.349.269.243.290,"830464010019171000,00%"
Yellow,Snow,High,4.082.747.192.878.850,-7.373.075.799.751.410,231,26.915.595.300.879.500,2.462.641.256.418.300,0,-2.481.712.155.713.010,90,37,37.744.668.681.276.300,"2947099974497720000,00%"
Red,Clear,High,40.791.042.811.421.500,-7.397.259.663.016.870,175,7.460.523.206.298.210,9.246.344.883.603.000,0,-13.383.938.649.335.500,68,21,10.138.611.454.932.700,"982328279363854000,00%"
Green,Fog,High,4.065.820.558.554.090,-7.376.058.947.344.210,188,15.567.148.469.930.700,5.477.980.321.069.170,0,2.526.972.102.179.950,33,48,36.976.034.546.643.800,"2873289816295420000,00%"
